Name,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
Acetaldehyde,8.805555555555555,0.75,8.805555555555555,0.75,0.35500761339323206,44.053,40.021,44.026214748,18,0,0.1164052831422626,-0.30371526986366926,0.30371526986366926,0.1164052831422626,2.0,2.0,2.0,16.12814585089842,10.960294041682554,1.2409923070832758,-1.2348845535859683,1.1286964310315497,-1.3580303671411733,5.439544344589547,-0.10561046336263406,2.1874960973678963,10.264662506490405,2.7071067811865475,1.9855985596534889,1.9855985596534889,1.4142135623730951,0.8130525295851417,0.8130525295851417,0.2357022603955159,0.2357022603955159,0.0,0.0,0.0,0.0,-0.33,2.7548875021634682,2.67,1.6699999999999997,1.6700000000000006,19.265715242269923,4.794537184071822,6.286160523129555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,0.0,4.794537184071822,6.286160523129555,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.286160523129555,4.794537184071822,0.0,6.923737199690624,0.0,0.0,0.0,0.0,17.07,0.0,0.0,0.0,0.0,0.0,6.286160523129555,6.923737199690624,0.0,0.0,0.0,4.794537184071822,0.0,0.0,8.805555555555555,0.0,0.0,0.0,0.0,0.75,1.4444444444444444,0.0,0.5,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.2052,11.738000000000001,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetaldehyde oxime,7.444444444444445,1.3055555555555556,7.444444444444445,1.3055555555555556,0.24532115973035182,59.068000000000005,54.028,59.03711378,24,0,0.04044431417857613,-0.41113634236272567,0.41113634236272567,0.04044431417857613,2.0,2.25,2.25,16.4327392853018,10.920978756933934,1.3437921106067443,-1.5363284352140945,1.3778668487194503,-1.4874350764219573,5.513545344256797,0.32107673035788015,2.549193338482967,21.219280948873624,3.414213562373095,2.4717774601895415,2.4717774601895415,1.914213562373095,1.035549158936787,1.035549158936787,0.3736689435850863,0.3736689435850863,0.11547005383792516,0.11547005383792516,0.0,0.0,-0.53,6.854752972273345,3.4699999999999998,2.4699999999999993,1.4699999999999982,24.74778787976027,5.20725302477729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.15571272675054,0.0,6.923737199690624,6.2146005795353165,0.0,5.20725302477729,6.2146005795353165,0.0,0.0,5.15571272675054,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.421853604312606,0.0,0.0,6.923737199690624,5.15571272675054,0.0,0.0,0.0,32.59,0.0,0.0,0.0,0.0,0.0,0.0,6.2146005795353165,6.923737199690624,0.0,5.15571272675054,5.20725302477729,0.0,0.0,0.0,10.055555555555555,0.0,0.0,0.0,1.3055555555555556,1.6388888888888888,0.0,0.5,4,1,2,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0.4663,15.9525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetamide,9.222222222222221,-0.33333333333333304,9.222222222222221,0.33333333333333304,0.40103092275538377,59.068,54.028,59.03711378,24,0,0.21379017959217533,-0.36992058791265336,0.36992058791265336,0.21379017959217533,2.0,2.0,2.0,16.14529929075639,10.787745135300659,1.611286313478797,-1.5972245549841224,1.3299202640290744,-2.013690032290488,5.698924303380397,-0.11547170968273979,2.8030394876740514,29.019550008653873,3.5773502691896257,2.485598559653489,2.485598559653489,1.7320508075688772,0.9927992798267444,0.9927992798267444,0.6106504100245024,0.6106504100245024,0.0,0.0,0.0,0.0,-0.53,3.2451124978365313,3.4699999999999998,0.8748582995951415,1.1560092559629747,24.605605939282636,5.733667477162185,0.0,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,4.794537184071822,5.907179729351506,0.0,0.0,5.733667477162185,6.923737199690624,0.0,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,5.907179729351506,4.794537184071822,0.0,6.923737199690624,0.0,0.0,0.0,0.0,43.09,0.0,4.794537184071822,0.0,5.907179729351506,0.0,0.0,6.923737199690624,0.0,0.0,5.733667477162185,0.0,0.0,0.0,9.222222222222221,0.0,4.472222222222222,-0.33333333333333304,0.0,0.0,1.3055555555555556,0.0,0.5,4,2,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,-0.5084,14.868400000000001,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetohexamide,12.108549382716049,-3.9260807586923634,12.108549382716049,0.03151747669785121,0.8305743326907693,324.40200000000016,304.2420000000001,324.11437811999997,120,0,0.32840989086119093,-0.3345904543428104,0.3345904543428104,0.32840989086119093,1.0454545454545454,1.6363636363636365,2.1818181818181817,32.23327161121165,9.956633300270223,2.2071228700463577,-2.2228666489115816,2.1713185298038797,-2.445854256761579,7.896646951522352,0.10127868024334452,1.9983584904180303,646.6249497468594,16.164925939000156,12.463526704200186,13.28002328512791,10.381847280265065,7.326368834829517,8.80953208242391,5.494458051704931,7.176860293114447,3.7385960431192617,5.085488155182369,2.511542664120634,3.4267795266673624,-1.8900000000000001,72463.8967143795,16.47999129999836,6.9131515352596775,4.300874900960248,129.8935954552559,5.316788604006331,0.0,5.783244946364939,0.0,10.023291153407584,6.031114512338072,4.794537184071822,17.934429032852847,0.0,0.0,31.39519900570125,31.898114582465862,11.605292320844956,4.895483475517775,18.00687135247258,21.837650612110593,0.0,10.038883468458419,0.0,49.96516961898641,0.0,29.828919765543436,0.0,0.0,10.038883468458419,4.794537184071822,0.0,0.0,26.27399727217991,10.023291153407584,0.0,49.385833990089495,29.160951749364216,0.0,0.0,0.0,92.34,16.054405665745655,18.00687135247258,0.0,16.720569251030675,5.563451491696996,32.10410811463005,31.18920547353706,0.0,4.722094864452088,5.316788604006331,0.0,26.222893361048122,0.0,22.951086723859333,2.6910087291089275,0.42185847320001435,-0.14634380982255246,4.803500970329974,4.996585067197077,1.4021579104381372,-3.9260807586923634,0.4666666666666667,22,2,6,1,0,1,1,0,1,4,2,7,4,1,0,1,2,2.2098000000000004,82.17270000000005,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Acetonitrile,7.319444444444445,1.4305555555555556,7.319444444444445,1.4305555555555556,0.3869805798690774,41.053,38.028999999999996,41.026549096,16,0,0.05871482377124906,-0.1986584259265234,0.1986584259265234,0.05871482377124906,2.0,2.0,2.0,14.199772541067192,10.95508811650909,1.1727325265919901,-1.1465232203603164,1.2146152150896594,-1.100101722274293,4.507020971444977,1.4896531954173182,2.475534205527556,24.264662506490403,2.7071067811865475,1.9472135954999579,1.9472135954999579,1.4142135623730951,0.7236067977499789,0.7236067977499789,0.22360679774997896,0.22360679774997896,0.0,0.0,0.0,0.0,-0.51,2.7548875021634682,2.490000000000001,1.4900000000000018,1.489999999999999,19.496772823694872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.261891554738487,0.0,0.0,0.0,6.923737199690624,6.069221312792274,0.0,0.0,5.261891554738487,0.0,0.0,6.923737199690624,0.0,0.0,0.0,6.069221312792274,0.0,0.0,0.0,0.0,0.0,0.0,11.33111286753076,6.923737199690624,0.0,0.0,0.0,0.0,23.79,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,6.069221312792274,0.0,0.0,5.261891554738487,0.0,0.0,0.0,7.319444444444445,0.0,0.0,1.75,0.0,1.4305555555555556,0.0,0.5,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.52988,11.287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1'-Acetoxysafrole,10.894182964852607,-0.45185185185185217,10.894182964852607,0.22728977702192,0.5783182171548034,220.22399999999996,208.12799999999996,220.073558864,84,0,0.30306044777456503,-0.45359545036646975,0.45359545036646975,0.30306044777456503,1.5,2.25,2.9375,16.696843945007313,10.09251536017494,2.17176401669028,-2.127866133332329,2.3461020117327656,-2.0519739410279945,5.662857355805865,-0.1439658043558634,2.248142138427544,425.02697890859474,11.543605595440512,8.933958070176677,8.933958070176677,7.702708600407234,4.897839740617464,4.897839740617464,3.3784342803884204,3.3784342803884204,2.232165275667965,2.232165275667965,1.5211402517847812,1.5211402517847812,-1.9699999999999998,6290.918496242362,10.544561916309322,4.263802943013955,2.003201149871295,93.42777940872756,14.210588861400147,6.103966387748303,11.49902366656781,6.792942306099827,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,12.645302752060108,18.208754243757102,12.487188691387619,0.0,19.005126045471968,5.969305287951849,0.0,0.0,0.0,13.027703587438927,6.792942306099827,36.417508487514205,0.0,11.49902366656781,9.473725907600098,0.0,11.49902366656781,0.0,12.762247594051676,9.53140013787187,0.0,18.591155079135923,30.854056995817206,0.0,0.0,0.0,44.760000000000005,6.103966387748303,4.794537184071822,0.0,12.762247594051676,11.49902366656781,5.563451491696996,6.923737199690624,18.208754243757102,6.06636706846161,6.578935683598497,14.210588861400147,15.52581459435626,0.0,10.894182964852607,0.0,0.8143055555555557,1.0217186318972038,5.400875850340136,1.116536281179138,5.226566121819099,0.0,0.25,16,0,4,0,1,1,1,0,1,4,0,4,3,0,0,0,2,2.2055,57.269000000000034,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Acetylaminofluorene,11.17480505165029,-0.0191147014361297,11.17480505165029,0.0191147014361297,0.6739434898699772,223.27499999999998,210.17099999999996,223.099714036,84,0,0.22075593107490418,-0.3260460515188347,0.3260460515188347,0.22075593107490418,1.0588235294117647,1.8235294117647058,2.6470588235294117,16.148167227341997,10.050516843868644,2.1987367208070094,-2.0782060654991077,2.3931440650183045,-2.0721084693072584,5.924848194756801,-0.11374016176980657,2.1363333236596254,601.6208569648081,11.828062645816686,9.656806955977792,9.656806955977792,8.25402019542349,5.732598131464397,5.732598131464397,4.346797051204516,4.346797051204516,3.1614845353225958,3.1614845353225958,2.464043652172259,2.464043652172259,-2.0899999999999994,13450.241978640106,10.088920230629265,3.7362175787874485,1.619015308916056,100.2888767988734,5.316788604006331,0.0,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,36.39820241076966,28.320173035249592,19.031945097300195,0.0,4.794537184071822,11.594566004035068,0.0,0.0,0.0,13.344558822616634,5.316788604006331,53.59147246262526,0.0,11.126902983393991,5.316788604006331,5.687386274683562,0.0,0.0,5.907179729351506,11.21535880699783,0.0,18.050640183084614,42.46456947923127,0.0,11.126902983393991,0.0,29.1,0.0,4.794537184071822,0.0,5.907179729351506,0.0,12.10820789760957,22.253805966787983,6.923737199690624,12.13273413692322,35.64862394631438,0.0,0.0,0.0,11.17480505165029,2.901056311413454,6.024957482993198,-0.0191147014361297,14.470431153943059,0.9047222222222221,1.5431424792139077,0.0,0.13333333333333333,17,1,2,1,0,1,2,0,2,1,1,2,1,0,0,0,3,3.2162000000000015,68.98770000000003,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Acetylaminofluorene,11.020471151423532,-0.02735082304526726,11.020471151423532,0.02735082304526726,0.6739434898699772,223.27499999999998,210.17099999999996,223.099714036,84,0,0.22074756481133995,-0.32632790135841205,0.32632790135841205,0.22074756481133995,1.0588235294117647,1.8235294117647058,2.6470588235294117,16.148149366800922,10.057690237057624,2.1717782821995737,-2.0493046692369608,2.3693371313155445,-2.0523212282457437,5.896030467685758,-0.11373465961372654,2.0368668949211246,601.6208569648081,11.828062645816686,9.656806955977794,9.656806955977794,8.237183443017882,5.726615067320691,5.726615067320691,4.387036212671414,4.387036212671414,3.1140491017410605,3.1140491017410605,2.4261431271102083,2.4261431271102083,-2.0899999999999994,12916.788302888795,10.088920230629265,3.7362175787874485,1.7159122448523465,100.2888767988734,5.316788604006331,0.0,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,30.33183534230805,40.80736172663721,12.611123474374185,0.0,4.794537184071822,11.594566004035068,0.0,0.0,0.0,13.344558822616634,5.316788604006331,53.59147246262526,0.0,11.126902983393991,5.316788604006331,5.687386274683562,0.0,0.0,5.907179729351506,11.21535880699783,0.0,18.050640183084614,42.46456947923127,0.0,11.126902983393991,0.0,29.1,0.0,4.794537184071822,0.0,5.907179729351506,0.0,12.10820789760957,29.177543166478603,0.0,6.06636706846161,41.71499101477599,0.0,0.0,0.0,11.020471151423532,2.8223294595616024,6.134776077097507,-0.02735082304526726,14.562762608129672,0.9572732426303854,1.52973828420257,0.0,0.13333333333333333,17,1,2,1,0,1,2,0,2,1,1,2,1,0,0,0,3,3.2162000000000015,68.98770000000003,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-Acetylaminofluorene,11.21388920382968,-0.0252026643990928,11.21388920382968,0.0252026643990928,0.6739434898699772,223.27499999999998,210.17099999999996,223.099714036,84,0,0.22076495750292469,-0.32574775984455984,0.32574775984455984,0.22076495750292469,1.0588235294117647,1.8235294117647058,2.6470588235294117,16.148168280059863,10.036868048503633,2.202425187274773,-2.090497589248237,2.405330044821847,-2.064392272695759,5.964037604096322,-0.11373246671514164,2.1896751549513014,601.6208569648081,11.828062645816686,9.656806955977792,9.656806955977792,8.25402019542349,5.732598131464399,5.732598131464399,4.354806933842403,4.354806933842403,3.1290561458868096,3.1290561458868096,2.4828541776515674,2.4828541776515674,-2.0899999999999994,13277.073465139532,10.088920230629265,3.7362175787874485,1.619015308916056,100.2888767988734,5.316788604006331,0.0,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,36.39820241076966,29.177543166478607,18.17457496607118,0.0,4.794537184071822,11.594566004035068,0.0,0.0,0.0,13.344558822616634,5.316788604006331,53.59147246262526,0.0,11.126902983393991,5.316788604006331,5.687386274683562,0.0,0.0,5.907179729351506,11.21535880699783,0.0,18.050640183084614,42.46456947923127,0.0,11.126902983393991,0.0,29.1,0.0,4.794537184071822,0.0,5.907179729351506,0.0,12.10820789760957,22.253805966787983,6.923737199690624,18.19910120538483,29.58225687785277,0.0,0.0,0.0,11.21388920382968,2.907102229780801,5.96097411186697,-0.0252026643990928,14.444049666162762,0.9572732426303854,1.5419142101284957,0.0,0.13333333333333333,17,1,2,1,0,1,2,0,2,1,1,2,1,0,0,0,3,3.2162000000000015,68.98770000000003,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-Acetylaminophenylacetic acid,10.670624658814143,-0.8636323171243803,10.670624658814143,0.0003486394557821182,0.7592452141623831,193.20199999999997,182.11399999999998,193.073893212,74,0,0.3073147798475191,-0.4809861732683899,0.4809861732683899,0.3073147798475191,1.2857142857142858,1.8571428571428572,2.2857142857142856,16.365184066470672,10.133151465055898,1.9996215121999923,-2.019310715660757,2.0919681941032047,-2.056113790015874,5.881582857506143,-0.13577090436331596,2.6799833621987537,307.8896728870035,10.55204176387779,7.780218034372735,7.780218034372735,6.575387400469408,4.160329074446309,4.160329074446309,2.948624881426564,2.948624881426564,1.6296542471788338,1.6296542471788338,1.0838136865503156,1.0838136865503156,-1.8399999999999999,1130.2636619151601,10.242236842105264,4.411323399666699,3.2643892755612196,81.558311712975,10.423315998847038,0.0,0.0,5.907179729351506,0.0,5.969305287951849,9.589074368143644,0.0,0.0,0.0,12.13273413692322,17.696185628620217,12.611123474374185,6.4208216229260096,14.69560176298435,17.563871291986917,0.0,0.0,0.0,13.344558822616634,5.316788604006331,29.828919765543436,0.0,0.0,5.316788604006331,5.687386274683562,0.0,0.0,16.983012412144063,16.00989599106965,0.0,12.487188691387619,24.26546827384644,0.0,0.0,0.0,66.4,5.969305287951849,9.589074368143644,0.0,12.328001352277514,11.250837766380558,0.0,6.923737199690624,24.26546827384644,0.0,5.316788604006331,5.106527394840706,0.0,0.0,21.032290984294953,11.110849841479801,1.3872600151171586,-1.0062391870328373,6.72037037037037,0.0003486394557821182,1.4217860029814395,0.0,0.2,14,2,4,0,0,0,1,0,1,2,2,4,3,0,0,0,1,1.2720999999999998,52.08550000000002,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
